Ref_Date,City,Province,Police Dept.,Type,Geographical classification,STATISTICS,Vector,Coordinate,Value
2013,Abbotsford, British Columbia,, municipal,59009,Crime severity index,v65813501,609.9,72.83
2013,Addington Highlands, Ontario, Ontario Provincial Police, municipal,35086,Crime severity index,v65809769,298.9,..
2013,Admaston/Bromley, Ontario, Ontario Provincial Police, municipal,35166,Crime severity index,v65810453,355.9,18.58
2013,Airdrie, Alberta, Royal Canadian Mounted Police, municipal,48899,Crime severity index,v65813297,592.9,66.53
2013,Aklavik, Northwest Territories, Royal Canadian Mounted Police, rural,61730,Crime severity index,v66460914,34.1,0
2013,Akwesasne Mohawk, Ontario,, municipal,35002,Crime severity index,v65809001,234.9,69.73
2013,Alexandria, Ontario,, municipal,35003,Crime severity index,v65961786,711.9,..
2013,Alma, Quebec,, municipal,24003,Crime severity index,v65806925,61.9,..
2013,Altona, Manitoba,, municipal,46001,Crime severity index,v65811473,440.9,53.07
2013,Amherst, Nova Scotia,, municipal,12001,Crime severity index,v65806313,10.9,104.01
2013,Amherstburg, Ontario,, municipal,35007,Crime severity index,v65809037,237.9,20.57
2013,Amos, Quebec,, municipal,24004,Crime severity index,v65806937,62.9,..
2013,Anishinabek, Ontario,, municipal,35006,Crime severity index,v65809025,236.9,124.48
2013,Annapolis Royal, Nova Scotia,, municipal,12002,Crime severity index,v65806325,11.9,..
2013,Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal,12752,Crime severity index,v65806565,31.9,100.55
2013,Apsley (North Kawartha), Ontario, Ontario Provincial Police, municipal,35085,Crime severity index,v65809757,297.9,26.08
2013,Arctic Bay, Nunavut, Royal Canadian Mounted Police, rural,62019,Crime severity index,v66461544,86.1,0
2013,Arnprior, Ontario, Ontario Provincial Police, municipal,35458,Crime severity index,v65811149,413.9,..
2013,Arviat, Nunavut, Royal Canadian Mounted Police, rural,62014,Crime severity index,v66461484,81.1,152.89
2013,Arviat, Northwest Territories, Royal Canadian Mounted Police, rural,61763,Crime severity index,v66461046,45.1,..
2013,Asbestos, Quebec,, municipal,24011,Crime severity index,v65806949,63.9,..
2013,Assiniboia, Saskatchewan, Royal Canadian Mounted Police, municipal,47880,Crime severity index,v65812289,508.9,..
2013,Athabaska, Alberta, Royal Canadian Mounted Police, municipal,48792,Crime severity index,v65812877,557.9,..
2013,Atikokan, Ontario, Ontario Provincial Police, municipal,35172,Crime severity index,v65810525,361.9,44.81
2013,Atikokan, Ontario,, municipal,35353,Crime severity index,v65811089,408.9,..
2013,Aylmer, Quebec,, municipal,24155,Crime severity index,v65807669,123.9,..
2013,Aylmer, Ontario,, municipal,35014,Crime severity index,v65809097,242.9,34.90
2013,Baie-comeau, Quebec,, municipal,24015,Crime severity index,v65806961,64.9,..
2013,Baker Lake, Northwest Territories, Royal Canadian Mounted Police, rural,61760,Crime severity index,v66461010,42.1,..
2013,Baker Lake, Nunavut, Royal Canadian Mounted Police, rural,62013,Crime severity index,v66461472,80.1,247.09
2013,Banff, Alberta, Royal Canadian Mounted Police, municipal,48731,Crime severity index,v65812733,545.9,124.23
2013,Barrhead, Alberta, Royal Canadian Mounted Police, municipal,48934,Crime severity index,v65813417,602.9,..
2013,Barrie, Ontario,, municipal,35021,Crime severity index,v65809169,248.9,47.58
2013,Bathurst, New Brunswick,, municipal,13001,Crime severity index,v65806637,37.9,81.24
2013,Battleford, Saskatchewan, Royal Canadian Mounted Police, municipal,47707,Crime severity index,v65812037,487.9,..
2013,Beaumont, Alberta, Royal Canadian Mounted Police, municipal,48704,Crime severity index,v65812661,539.9,37.78
2013,Beausejour, Manitoba, Royal Canadian Mounted Police, municipal,46783,Crime severity index,v65811761,464.9,75.91
2013,Beaver Creek, Yukon, Royal Canadian Mounted Police, rural,60713,Crime severity index,v66460656,13.1,0
2013,Bedford, Quebec,, municipal,24028,Crime severity index,v65961726,706.9,..
2013,Behchoko, Northwest Territories, Royal Canadian Mounted Police, rural,61769,Crime severity index,v66461106,50.1,676.65
2013,Belleterre, Quebec,, municipal,24151,Crime severity index,v65807633,120.9,..
2013,Belleville, Ontario,, municipal,35027,Crime severity index,v65809241,254.9,91.69
2013,Berwick, Nova Scotia,, municipal,12004,Crime severity index,v65961690,703.9,..
2013,Biggar, Saskatchewan, Royal Canadian Mounted Police, municipal,47843,Crime severity index,v65812205,501.9,..
2013,Blackfalds, Alberta, Royal Canadian Mounted Police, municipal,48019,Crime severity index,v80750910,722.9,82.24
2013,Blackfalds, Alberta, Royal Canadian Mounted Police, municipal,48883,Crime severity index,v65813201,584.9,..
2013,Blacks Harbour, New Brunswick,, municipal,13009,Crime severity index,v65961714,705.9,..
2013,Blainville, Quebec,, municipal,24305,Crime severity index,v65808617,202.9,45.11
2013,Blairmore, Alberta, Royal Canadian Mounted Police, municipal,48917,Crime severity index,v65813393,600.9,..
2013,Blandford/Blenheim, Ontario, Ontario Provincial Police, municipal,35188,Crime severity index,v65810645,371.9,28.45
2013,Blood Tribe (Standoff), Alberta,, municipal,48091,Crime severity index,v65812637,537.9,261.34
2013,Boisbriand, Quebec,, municipal,24302,Crime severity index,v65808593,200.9,..
2013,Boissevain, Manitoba, Royal Canadian Mounted Police, municipal,46817,Crime severity index,v65811857,472.9,36.81
2013,Bonnechere Valley, Ontario, Ontario Provincial Police, municipal,35178,Crime severity index,v65810573,365.9,57.47
2013,Bonnyville, Alberta, Royal Canadian Mounted Police, municipal,48742,Crime severity index,v65812745,546.9,165.33
2013,Borden-Carleton, Prince Edward Island,, municipal,11013,Crime severity index,v65806277,7.9,..
2013,Boucherville, Quebec,, municipal,24037,Crime severity index,v65806985,66.9,..
2013,Bouctouche, New Brunswick, Royal Canadian Mounted Police, municipal,13705,Crime severity index,v65806817,52.9,72.14
2013,Brandon, Manitoba,, municipal,46005,Crime severity index,v65811485,441.9,81.43
2013,Brant County, Ontario, Ontario Provincial Police, municipal,35109,Crime severity index,v65809961,314.9,39.72
2013,Brantford, Ontario,, municipal,35042,Crime severity index,v65809409,268.9,88.26
2013,Bridgewater, Nova Scotia,, municipal,12006,Crime severity index,v65806337,12.9,67.62
2013,Brighton Township, Ontario, Ontario Provincial Police, municipal,35017,Crime severity index,v65961546,691.9,..
2013,Brockton, Ontario, Ontario Provincial Police, municipal,35145,Crime severity index,v65810273,340.9,56.99
2013,Brockville, Ontario,, municipal,35046,Crime severity index,v65809457,272.9,73.93
2013,Bromont, Quebec,, municipal,24040,Crime severity index,v65807009,68.9,52.37
2013,Brooks, Alberta, Royal Canadian Mounted Police, municipal,48708,Crime severity index,v65812673,540.9,65.27
2013,Brossard, Quebec,, municipal,24039,Crime severity index,v65806997,67.9,..
2013,Burnaby, British Columbia, Royal Canadian Mounted Police, municipal,59703,Crime severity index,v65813691,625.9,79.52
2013,Caledon, Ontario, Ontario Provincial Police, municipal,35461,Crime severity index,v65811161,414.9,24.66
2013,Calgary, Alberta,, municipal,48014,Crime severity index,v65812517,527.9,59.93
2013,Cambridge Bay, Nunavut, Royal Canadian Mounted Police, rural,62007,Crime severity index,v66461400,74.1,328.85
2013,Cambridge Bay, Northwest Territories, Royal Canadian Mounted Police, rural,61761,Crime severity index,v66461022,43.1,..
2013,Campbell River, British Columbia, Royal Canadian Mounted Police, municipal,59891,Crime severity index,v65814267,673.9,82.36
2013,Campbellton, New Brunswick, Royal Canadian Mounted Police, municipal,13706,Crime severity index,v65806829,53.9,93.74
2013,Camrose, Alberta,, municipal,48015,Crime severity index,v65812529,528.9,88.15
2013,Canmore, Alberta, Royal Canadian Mounted Police, municipal,48729,Crime severity index,v65812721,544.9,57.91
2013,Canora, Saskatchewan, Royal Canadian Mounted Police, municipal,47913,Crime severity index,v65812337,512.9,..
2013,Cap-Pel�, New Brunswick, Royal Canadian Mounted Police, municipal,13751,Crime severity index,v65806877,57.9,51.20
2013,Cap-de-la-madeleine, Quebec,, municipal,24051,Crime severity index,v65807069,73.9,..
2013,Cape Breton Region, Nova Scotia,, municipal,12018,Crime severity index,v65806361,14.9,60.05
2013,Cape Dorset, Nunavut, Royal Canadian Mounted Police, rural,62005,Crime severity index,v66461376,72.1,514
2013,Cape Dorset, Northwest Territories, Royal Canadian Mounted Police, rural,61701,Crime severity index,v66460770,22.1,..
2013,Caraquet, New Brunswick,, municipal,13002,Crime severity index,v65806649,38.9,..
2013,Carcross, Yukon, Royal Canadian Mounted Police, rural,60715,Crime severity index,v66460680,15.1,0
2013,Cardston, Alberta, Royal Canadian Mounted Police, municipal,48894,Crime severity index,v65813261,589.9,..
2013,Carignan, Quebec,, municipal,24383,Crime severity index,v65808977,232.9,..
2013,Carleton Place, Ontario, Ontario Provincial Police, municipal,35140,Crime severity index,v65810225,336.9,51.96
2013,Carleton Place, Ontario,, municipal,35056,Crime severity index,v65809541,279.9,..
2013,Carmacks, Yukon, Royal Canadian Mounted Police, rural,60700,Crime severity index,v66460524,2.1,0
2013,Carman, Manitoba, Royal Canadian Mounted Police, municipal,46786,Crime severity index,v65811773,465.9,49.86
2013,Caronport, Saskatchewan,, municipal,47010,Crime severity index,v65811893,475.9,33.46
2013,Castlegar, British Columbia, Royal Canadian Mounted Police, municipal,59928,Crime severity index,v65814363,681.9,89.07
