Ref_Date,GEO,Geographical classification,STA,Vector,Coordinate,Value
1998,Yukon,60,Crime severity index,v66460506,1.1,226.16
1999,Yukon,60,Crime severity index,v66460506,1.1,230.35
2000,Yukon,60,Crime severity index,v66460506,1.1,267.74
2001,Yukon,60,Crime severity index,v66460506,1.1,248.83
2002,Yukon,60,Crime severity index,v66460506,1.1,263.88
2003,Yukon,60,Crime severity index,v66460506,1.1,258.69
2004,Yukon,60,Crime severity index,v66460506,1.1,245.46
2005,Yukon,60,Crime severity index,v66460506,1.1,199.41
2006,Yukon,60,Crime severity index,v66460506,1.1,180.43
2007,Yukon,60,Crime severity index,v66460506,1.1,186.25
2008,Yukon,60,Crime severity index,v66460506,1.1,182.79
2009,Yukon,60,Crime severity index,v66460506,1.1,180.86
2010,Yukon,60,Crime severity index,v66460506,1.1,171
2011,Yukon,60,Crime severity index,v66460506,1.1,154.74
2012,Yukon,60,Crime severity index,v66460506,1.1,156.29
2013,Yukon,60,Crime severity index,v66460506,1.1,170.11
2014,Yukon,60,Crime severity index,v66460506,1.1,189.05
1998,Yukon,60,Percent change in crime severity index,v66460507,1.2,0
1999,Yukon,60,Percent change in crime severity index,v66460507,1.2,1.85
2000,Yukon,60,Percent change in crime severity index,v66460507,1.2,16.23
2001,Yukon,60,Percent change in crime severity index,v66460507,1.2,-7.06
2002,Yukon,60,Percent change in crime severity index,v66460507,1.2,6.05
2003,Yukon,60,Percent change in crime severity index,v66460507,1.2,-1.97
2004,Yukon,60,Percent change in crime severity index,v66460507,1.2,-5.11
2005,Yukon,60,Percent change in crime severity index,v66460507,1.2,-18.76
2006,Yukon,60,Percent change in crime severity index,v66460507,1.2,-9.52
2007,Yukon,60,Percent change in crime severity index,v66460507,1.2,3.23
2008,Yukon,60,Percent change in crime severity index,v66460507,1.2,-1.86
2009,Yukon,60,Percent change in crime severity index,v66460507,1.2,-1.06
2010,Yukon,60,Percent change in crime severity index,v66460507,1.2,-5.45
2011,Yukon,60,Percent change in crime severity index,v66460507,1.2,-9.51
2012,Yukon,60,Percent change in crime severity index,v66460507,1.2,1
2013,Yukon,60,Percent change in crime severity index,v66460507,1.2,8.84
2014,Yukon,60,Percent change in crime severity index,v66460507,1.2,11.13
1998,Yukon,60,Violent crime severity index,v66460508,1.3,214.17
1999,Yukon,60,Violent crime severity index,v66460508,1.3,232.04
2000,Yukon,60,Violent crime severity index,v66460508,1.3,252.68
2001,Yukon,60,Violent crime severity index,v66460508,1.3,242.8
2002,Yukon,60,Violent crime severity index,v66460508,1.3,234.68
2003,Yukon,60,Violent crime severity index,v66460508,1.3,239.64
2004,Yukon,60,Violent crime severity index,v66460508,1.3,294.33
2005,Yukon,60,Violent crime severity index,v66460508,1.3,166.86
2006,Yukon,60,Violent crime severity index,v66460508,1.3,158.1
2007,Yukon,60,Violent crime severity index,v66460508,1.3,198.41
2008,Yukon,60,Violent crime severity index,v66460508,1.3,195.49
2009,Yukon,60,Violent crime severity index,v66460508,1.3,200.22
2010,Yukon,60,Violent crime severity index,v66460508,1.3,186.2
2011,Yukon,60,Violent crime severity index,v66460508,1.3,176.61
2012,Yukon,60,Violent crime severity index,v66460508,1.3,163.57
2013,Yukon,60,Violent crime severity index,v66460508,1.3,157.49
2014,Yukon,60,Violent crime severity index,v66460508,1.3,236.72
1998,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,0
1999,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,8.34
2000,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,8.9
2001,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-3.91
2002,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-3.34
2003,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,2.11
2004,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,22.82
2005,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-43.31
2006,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-5.25
2007,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,25.5
2008,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-1.47
2009,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,2.42
2010,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-7
2011,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-5.15
2012,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-7.38
2013,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,-3.72
2014,Yukon,60,Percent change in violent crime severity index,v66460509,1.4,50.31
1998,Yukon,60,Non-violent crime severity index,v66460510,1.5,230.77
1999,Yukon,60,Non-violent crime severity index,v66460510,1.5,229.7
2000,Yukon,60,Non-violent crime severity index,v66460510,1.5,273.53
2001,Yukon,60,Non-violent crime severity index,v66460510,1.5,251.15
2002,Yukon,60,Non-violent crime severity index,v66460510,1.5,275.1
2003,Yukon,60,Non-violent crime severity index,v66460510,1.5,266.02
2004,Yukon,60,Non-violent crime severity index,v66460510,1.5,226.66
2005,Yukon,60,Non-violent crime severity index,v66460510,1.5,211.93
2006,Yukon,60,Non-violent crime severity index,v66460510,1.5,189.02
2007,Yukon,60,Non-violent crime severity index,v66460510,1.5,181.58
2008,Yukon,60,Non-violent crime severity index,v66460510,1.5,177.91
2009,Yukon,60,Non-violent crime severity index,v66460510,1.5,173.42
2010,Yukon,60,Non-violent crime severity index,v66460510,1.5,165.15
2011,Yukon,60,Non-violent crime severity index,v66460510,1.5,146.46
2012,Yukon,60,Non-violent crime severity index,v66460510,1.5,153.31
2013,Yukon,60,Non-violent crime severity index,v66460510,1.5,174.35
2014,Yukon,60,Non-violent crime severity index,v66460510,1.5,171.31
1998,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,0
1999,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-0.46
2000,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,19.08
2001,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-8.18
2002,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,9.54
2003,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-3.3
2004,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-14.8
2005,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-6.5
2006,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-10.81
2007,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-3.94
2008,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-2.02
2009,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-2.52
2010,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-4.77
2011,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-11.32
2012,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,4.68
2013,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,13.72
2014,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-1.74
1998,Yukon,60,Youth crime severity index,v66460512,1.7,252.18
1999,Yukon,60,Youth crime severity index,v66460512,1.7,241.66
2000,Yukon,60,Youth crime severity index,v66460512,1.7,312.97
2001,Yukon,60,Youth crime severity index,v66460512,1.7,319.82
2002,Yukon,60,Youth crime severity index,v66460512,1.7,324.47
2003,Yukon,60,Youth crime severity index,v66460512,1.7,291.47
2004,Yukon,60,Youth crime severity index,v66460512,1.7,245.14
2005,Yukon,60,Youth crime severity index,v66460512,1.7,266.52
2006,Yukon,60,Youth crime severity index,v66460512,1.7,272.58
2007,Yukon,60,Youth crime severity index,v66460512,1.7,297.59
2008,Yukon,60,Youth crime severity index,v66460512,1.7,253.37
2009,Yukon,60,Youth crime severity index,v66460512,1.7,297.39
